,mae,srcc,plcc,p-val,best2,best4,epoch,path json,path py
111,7.707987308502197,0.8575389981269836,0.8875007033348083,0.03072,0.8554822206497192,0.8543874621391296,20,Tres_clive_5567949617806866492.json,org_best_v2_5.py
124,18.446327209472656,0.8572335243225098,0.8844199180603027,0.03567,0.8571007251739502,0.8555031418800354,250,Tres_clive_8452283878293170513.json,org_dtl_1.py
97,17.108806610107422,0.8571329712867737,0.8855361938476562,0.03751,0.8546616435050964,0.8542992472648621,100,Tres_clive_759965838104236765.json,org_dml_5.py
10,7.559330940246582,0.857073187828064,0.8860804438591003,0.03865,0.8533315658569336,0.8456330299377441,120,Tres_clive_8366358709895872874.json,lastGood_var2_ffn49x4.py
135,15.825864791870117,0.8568597435951233,0.8954277038574219,0.04307,0.85428786277771,0.8524787425994873,149,Tres_clive_2347777805880634537.json,org_ed_f_3.py
85,7.594886779785156,0.8565789461135864,0.8777952194213867,0.04983,0.8505433797836304,0.8448437452316284,110,Tres_clive_328935448906181061.json,effnet4_lrs_freeze_adamw_lr4x.py
19,7.200798034667969,0.856508731842041,0.8877702355384827,0.05170,0.8539947271347046,0.8518933653831482,149,Tres_clive_7012376935555063301.json,combineBests_ffn64.py
25,14.999712944030762,0.8564337491989136,0.8870024681091309,0.05380,0.8508470058441162,0.8480132818222046,100,Tres_clive_773311933224965949.json,org_npe_f_5.py
76,7.397465229034424,0.8564015626907349,0.8863402009010315,0.05473,0.8532016277313232,0.8488073348999023,110,Tres_clive_1606757565798041087.json,lastGood_var2_dropout0.py
79,17.34956169128418,0.8562108278274536,0.8762249946594238,0.06062,0.8442232608795166,0.8356595039367676,10,Tres_clive_457283313535931313.json,org_dtl_5.py
78,16.43193244934082,0.8558778762817383,0.8836807012557983,0.07276,0.853431224822998,0.8517017364501953,30,Tres_clive_439179488273846971.json,org_dml_1.py
117,8.833027839660645,0.8558342456817627,0.8819354772567749,0.07454,0.853718638420105,0.8492095470428467,110,Tres_clive_1560873920463770842.json,lastGood_var2_maeXdmrl_w1mae02.py
2,7.746402263641357,0.8552564382553101,0.8774212002754211,0.10351,0.8535621166229248,0.8505159020423889,130,Tres_clive_901829241896599724.json,effnet4_lrs_freeze_adamw.py
125,7.538951873779297,0.855160653591156,0.8851872086524963,0.10943,0.8546635508537292,0.8444557189941406,210,Tres_clive_2023851322971151436.json,lastGood_var2_e250.py
77,17.024036407470703,0.8549993634223938,0.8816937804222107,0.12027,0.8542660474777222,0.8532025814056396,210,Tres_clive_1636848859738561441.json,org_dtl_1.py
90,15.199453353881836,0.8549225330352783,0.8821389675140381,0.12583,0.8534719944000244,0.8459157347679138,90,Tres_clive_968825850510628652.json,org_ed_f_5.py
53,16.91879653930664,0.8547821044921875,0.8650060892105103,0.13675,0.8535317778587341,0.850205659866333,249,Tres_clive_2162187383209329346.json,org_maexdtl_effnet.py
8,16.026533126831055,0.8546882271766663,0.8836816549301147,0.14461,0.8380160331726074,0.8335809707641602,100,Tres_clive_7454055566203373941.json,org_l2poolPaper5.py
119,7.703701496124268,0.854584813117981,0.8839144706726074,0.15383,0.8532414436340332,0.8515793681144714,110,Tres_clive_1861156205250360781.json,combineBests.py
6,8.170787811279297,0.8545686602592468,0.8868820667266846,0.15533,0.8519521951675415,0.8418980836868286,100,Tres_clive_3754084904759575907.json,org_dropout01_5.py
32,7.3090691566467285,0.8542157411575317,0.8875861167907715,0.19214,0.852718710899353,0.8487579822540283,100,Tres_clive_9089965364636657078.json,lastGood_var2_maeXdmrl_w1.py
16,7.785483360290527,0.8537366390228271,0.8770146369934082,0.25690,0.8505007028579712,0.8479411602020264,60,Tres_clive_429383431780174334.json,effnet4_adamw.py
14,16.485231399536133,0.8537063002586365,0.8740468621253967,0.26166,0.8530583381652832,0.8504637479782104,60,Tres_clive_807958600108619652.json,org_maexdtl_oml.py
56,19.465137481689453,0.8536731004714966,0.8720353245735168,0.26697,0.8515992760658264,0.8495007753372192,220,Tres_clive_1279261835810350320.json,org_dml_2.py
7,13.655269622802734,0.8534833788871765,0.8807924389839172,0.29936,0.8460978865623474,0.844744086265564,149,Tres_clive_977556722088017533.json,lastGood_var2_freeze80_dr04.py
101,15.847216606140137,0.8534767627716064,0.8867975473403931,0.30055,0.8529568910598755,0.8487352132797241,20,Tres_clive_1336160789089195793.json,org_dtl_5.py
20,7.441120147705078,0.8533496260643005,0.8857541680335999,0.32437,0.8509399890899658,0.8446511030197144,90,Tres_clive_5415820460497430890.json,lastGood_var2_maeXdmrl.py
106,7.667767524719238,0.8531020283699036,0.8825891613960266,0.37575,0.8505908250808716,0.848887026309967,30,Tres_clive_24352892952640335.json,lastGood_var2_merge.py
102,7.180170059204102,0.8525669574737549,0.8846609592437744,0.51072,0.8521646857261658,0.8470436930656433,149,Tres_clive_7117294376353700239.json,lastGood_var2.py
47,16.94068145751953,0.8520119786262512,0.8823604583740234,0.68509,0.8496582508087158,0.8436265587806702,100,Tres_clive_1244924195611695112.json,org_effnet_5.py
91,7.564098358154297,0.8519483804702759,0.880372166633606,0.70706,0.8491479158401489,0.8469241857528687,140,Tres_clive_2177276221288296607.json,lastGood_var2_freeze80.py
69,12.307446479797363,0.8518896102905273,0.8768325448036194,0.72767,0.851294755935669,0.8504352569580078,70,Tres_clive_1682055911629200512.json,org_convnext_tiny_2.py
